alpha,rho,coef_x1_mis_mean,coef_x1_mis_std,coef_x1_correct_mean,coef_x1_correct_std
0.0,0.0,1.369848751123296,0.06375970926638794,1.3876477185539042,0.06636633818444995
0.0,0.060000000000000005,1.406271094366996,0.05710623538709155,1.398637944264943,0.05795771927550892
0.0,0.12000000000000001,1.42539781211484,0.05894933531250433,1.3943763613221396,0.060774742359497966
0.0,0.18000000000000002,1.4492583992787018,0.057965729271526344,1.3949838034361957,0.06149091586692162
0.0,0.24000000000000002,1.4743238727074004,0.05778702928789086,1.3954933411798338,0.06273653686365802
0.0,0.30000000000000004,1.4983063918774806,0.05950950091527605,1.3963707082248376,0.06592636305858439
0.0,0.36000000000000004,1.521583326889422,0.057066106459033886,1.3953158011985076,0.06522330056083998
0.0,0.42000000000000004,1.547297444707371,0.05780572562585592,1.3953686363197668,0.06731846554511667
0.0,0.48000000000000004,1.5720235713703954,0.05717025608051881,1.39439535075715,0.06721681386033156
0.0,0.54,1.5955911423184732,0.058759130379343515,1.3906976948946757,0.07447666695086864
0.0,0.6000000000000001,1.6193507637607392,0.05563389807368657,1.3883560602213367,0.07612240199599639
0.0,0.66,1.6449767629878516,0.053703217481762336,1.3838407870902558,0.0764804348629473
0.0,0.7200000000000001,1.6715996185787996,0.053564231587626,1.3819380873685723,0.08295728488695624
0.0,0.78,1.699295371814329,0.052845056996652366,1.3733213589667292,0.08962938715816368
0.0,0.8400000000000001,1.726142360901556,0.05527044016575396,1.3682874881555223,0.09565037837866576
0.0,0.9,1.7565815257566235,0.05833680900686041,1.3635549151355355,0.10609152293871164
1.0,0.0,1.2220750677273704,0.05680483206502002,1.3931080478733449,0.06640427054323751
1.0,0.060000000000000005,1.297954207861082,0.059244159570145304,1.3898211611646576,0.05723020524770348
1.0,0.12000000000000001,1.3705666577746103,0.05928664606792887,1.3885781167189626,0.05887908558195546
1.0,0.18000000000000002,1.4449820428895837,0.06152142265012619,1.3880296935751064,0.061481941828435756
1.0,0.24000000000000002,1.518460062191956,0.059162591229845025,1.3844841304288968,0.05980838167898725
1.0,0.30000000000000004,1.5976305314323596,0.06322887071784408,1.3847596603180907,0.06393643860969934
1.0,0.36000000000000004,1.680795330531764,0.06419809072812313,1.387350242178809,0.0645029369939053
1.0,0.42000000000000004,1.7631703737314381,0.05988372835793289,1.386389549540914,0.05857922175752666
1.0,0.48000000000000004,1.8486584010808025,0.06152191026234203,1.3853087134007125,0.060156569992444224
1.0,0.54,1.9411684381916645,0.06273067703198502,1.3880634920000317,0.06073454745278462
1.0,0.6000000000000001,2.0347453451048496,0.06554032963410344,1.3882250549503672,0.06730941099004412
1.0,0.66,2.134098066545468,0.06499223750359517,1.3915295587173053,0.06956840717556913
1.0,0.7200000000000001,2.235105797229275,0.06732257607345564,1.3869061180719309,0.07603625039081124
1.0,0.78,2.3396447331755907,0.06726191622559448,1.3813899141191357,0.08169846147210352
1.0,0.8400000000000001,2.4509304369968135,0.0661072442651813,1.3769434826883875,0.0890299970816766
1.0,0.9,2.568160064584635,0.06811391719182372,1.3667263781976988,0.11089270963807746
2.0,0.0,0.9985584748925176,0.05307535956718085,1.387314696699208,0.06191842195833656
2.0,0.060000000000000005,1.11910170274036,0.060234249628626016,1.3935527788844155,0.07079775159023567
2.0,0.12000000000000001,1.2275827468291636,0.05988583372958765,1.392712251535734,0.068622081806752
2.0,0.18000000000000002,1.336327448364311,0.05691606812359272,1.3889034063534262,0.06416104015660594
2.0,0.24000000000000002,1.4503265731723531,0.06039805814047789,1.3872480238575777,0.06887539621459096
2.0,0.30000000000000004,1.5665659197036184,0.062222383764722666,1.3832440611161032,0.06709556793283293
2.0,0.36000000000000004,1.6908303303010825,0.06217146001729431,1.383283616803356,0.06673592673070065
2.0,0.42000000000000004,1.8199314712802772,0.06613418696723392,1.3820972079988254,0.07005170879421367
2.0,0.48000000000000004,1.9549685800984404,0.07311250697031248,1.380012729944934,0.07734675244512965
2.0,0.54,2.101958021655564,0.0676638569034989,1.3842754896655305,0.06876700774560891
2.0,0.6000000000000001,2.2570205218216453,0.07108671688317095,1.385056033012426,0.0746680183737226
2.0,0.66,2.426506936285752,0.07274419414027682,1.3896908095560456,0.07756437516458302
2.0,0.7200000000000001,2.6064546048921655,0.07844983310266357,1.3915467436563356,0.0884206704263732
2.0,0.78,2.8006963929003637,0.076446188436363,1.3866267869798412,0.08698642721574332
2.0,0.8400000000000001,3.0203716910499407,0.08014053285340146,1.3843115865319724,0.10273532814842226
2.0,0.9,3.2698021749081185,0.079020622408616,1.391424193909776,0.11045695204832592
3.0,0.0,0.8030413025036208,0.05048238796242459,1.3952957328930982,0.06885817861609102
3.0,0.060000000000000005,0.9401448012950888,0.050981565240901375,1.387199993545919,0.06550898833947998
3.0,0.12000000000000001,1.0762132595096454,0.05352225814966444,1.39654629877,0.0676834520062967
3.0,0.18000000000000002,1.210193621619812,0.056341670100146075,1.3971488201566873,0.06801138209159367
3.0,0.24000000000000002,1.345669109536213,0.05432071759440268,1.3916283668783334,0.062208165215427165
3.0,0.30000000000000004,1.486215627120789,0.06183948995098356,1.3848392886693162,0.07087527436259879
3.0,0.36000000000000004,1.639907945275237,0.06505914460190097,1.3865826554619272,0.07600358375307485
3.0,0.42000000000000004,1.799133887991164,0.06601470404453455,1.3850136413589538,0.07660041810455431
3.0,0.48000000000000004,1.9717802527247503,0.07215544253752158,1.3874610398116218,0.08397810582501153
3.0,0.54,2.157919703717017,0.07071876379843574,1.3904786254844552,0.08416588480889213
3.0,0.6000000000000001,2.363171547540283,0.07313967330390987,1.4006896411580283,0.08522423598818062
3.0,0.66,2.5820297684039866,0.07861710325957298,1.3979136171756925,0.09400461863197927
3.0,0.7200000000000001,2.8229952170667394,0.07919349803686954,1.389945124762946,0.09061232303044178
3.0,0.78,3.103483668172109,0.08233133768152223,1.3901082800073972,0.0947034113449577
3.0,0.8400000000000001,3.4312892351935074,0.08948737664843051,1.3923742042834686,0.10699262569895734
3.0,0.9,3.8184663583929623,0.09415167026505061,1.3881287622728897,0.13019845547173867
4.0,0.0,0.6391287274938304,0.05189416231825452,1.379371872331823,0.07619257498642104
4.0,0.060000000000000005,0.802006670074122,0.048078541564591175,1.3872080427723614,0.0676064327288724
4.0,0.12000000000000001,0.9468692779820448,0.04848265449007502,1.3896030165511655,0.07587569683836667
4.0,0.18000000000000002,1.0948354717678423,0.050679575729537386,1.391011347811926,0.07639338628655318
4.0,0.24000000000000002,1.244555245026983,0.05246732555001286,1.384895819822356,0.0713541275839606
4.0,0.30000000000000004,1.4024955414081932,0.05891529010229179,1.381604783670512,0.07913284106252205
4.0,0.36000000000000004,1.5716209572128828,0.05982252194461981,1.3832514614967533,0.07491972520907958
4.0,0.42000000000000004,1.7494286028344535,0.061171115191252866,1.3826128971954932,0.08177479750270585
4.0,0.48000000000000004,1.9438969466026057,0.06531599279056467,1.3886711421850884,0.09282247035941228
4.0,0.54,2.1497230274357353,0.06462180474759609,1.3848071229286487,0.09153642163605098
4.0,0.6000000000000001,2.3813389649729753,0.0687269050825214,1.3897686103309177,0.0969978694129766
4.0,0.66,2.6325341212184195,0.07549816359394798,1.3804111503720238,0.09891114731073948
4.0,0.7200000000000001,2.925432205867656,0.08277157567155125,1.3814002234856546,0.10674721332948246
4.0,0.78,3.2734489886951543,0.08256522850201331,1.3899569047509641,0.10652547004181132
4.0,0.8400000000000001,3.6988446512389843,0.08817959032050472,1.4041076610634824,0.11016600770565996
4.0,0.9,4.229769936763945,0.10868548750617468,1.4163251658608293,0.1449225412746434
